T0 t0
-3.69371 57.1729
0.639043 4353.94
0.0309956 2370.34
3.2437 58893.8
2.9759 45057.7
-2.48071 192.305
2.18199 20369.2
-0.343858 1629.35
1.50478 10348.3
-1.38925 572.803
-1.23569 667.879
0.290486 3072.6
3.12742 52429.1
-1.98918 314.385
1.08346 6790.3
2.96053 44370.4
0.879248 5536.08
2.80315 37909
-1.24532 661.474
1.65484 12023.7
2.55354 29535
1.90559 15450.3
2.12054 19155.3
0.629771 4313.76
-0.318895 1670.53
-3.37841 78.3657
0.755753 4892.93
2.68045 33531.8
1.60595 11449.9
0.0837511 2498.75
0.939356 5879.05
0.403398 3439.88
2.39061 25094.5
1.75586 13301.8
1.67579 12278.3
-1.18958 699.396
6.44792 1.45093e+06
1.67085 12217.8
-2.38485 211.651
-0.540751 1338.15
1.8337 14378.5
0.916316 5745.14
-0.203891 1874.14
4.78595 275336
2.02049 17331.5
1.55535 10885
3.7516 97870.2
-0.147992 1981.88
0.523512 3878.9
-1.22304 676.382
2.25942 22009.1
3.24259 58828.5
5.26583 444908
-3.39515 77.0643
0.840298 5324.6
2.61099 31281.7
-0.205987 1870.21
3.34961 65473.5
-0.792649 1040.18
-2.92583 123.22
-2.34334 220.623
1.83209 14355.4
6.62859 1.73824e+06
0.0198404 2344.05
0.628887 4309.95
-2.05132 295.444
0.388411 3388.71
-1.19427 696.125
0.14351 2652.62
0.00702998 2314.21
-3.79444 51.6945
0.124447 2602.54
-1.00468 841.436
3.26308 60046.5
4.63981 237899
4.26906 164201
4.86582 298228
0.0837764 2498.81
3.04914 48481.3
-1.14464 731.544
0.850849 5381.07
3.39146 68272.2
4.68277 248344
0.161829 2701.66
-2.9212 123.791
1.31834 8588.13
-0.213305 1856.58
0.164592 2709.14
0.681792 4544.1
-1.41544 557.999
-2.30694 228.802
0.752378 4876.45
1.77774 13596
2.3021 22968.8
1.69618 12531.2
2.10111 18786.7
7.32015 3.47097e+06
2.1459 19647.2
-0.483906 1416.42
4.59553 227596
-2.15459 266.454
5.21172 421476
0.131812 2621.77
-2.60301 170.168
-0.10625 2066.36
0.346207 3248.67
3.91287 114998
1.21557 7749.38
0.738666 4810.04
4.46071 198890
0.111009 2567.8
-0.177489 1924.28
3.23901 58618.4
-2.60673 169.537
0.310184 3133.73
1.92442 15744
2.70422 34338.2
-0.987483 856.036
3.89154 112571
4.22732 157489
5.76715 734497
0.199717 2805.99
0.82452 5241.25
0.428633 3527.79
1.79149 13784.3
-0.722166 1116.14
4.42306 191541
3.76162 98855.2
2.32465 23492.8
2.68416 33656.1
0.234545 2905.44
